val_year,val_mth,pol_id,prod_code,red,group,elap_mth,elap_mth_pol,age_1,term,sex_1,frac_pol,pr_curr,pr_init,pr_acc,pr_freq,pr_inc_pct,pr_inc_ind,pr_term,pct_sa_acc,basis_ps,bon_curr,bon_pct,lin_sa_dth,lin_sa_dth_ind,lin_sa_mat,lin_sa_mat_ind,lin_pr,lex_pr,com1,com2,com3,com4,com5,com6,com7,com8,com9,com10,res_db,res_nt_db,sa_dth,sa_mat,sa_mat_riders,table_res,pct_res,table_res_nt,pct_res_nt,ind_table,ind_table_nt,sa_inc_ind,sa_inc_pct,surr_type,surr_penalty,it,it_nt,it_rop,db_type_t,sa_dth_inc_ind,sa_dth_inc_pct,age_shift_res,inc_term_yr,val_int_loan,pr_init_original,rop_type_t,modal_load,inc_at_mat,ind_matching,it_matching,fund_name,portfolio,prod_code_scr,sa_dth_original,flag_wl_int2,int2,term_int2,bonus_type,year_birth1,table_tariff,edad_derechos,cohort_base,policies_curr
2019,12,BIVU001892_3925,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-3,0,973,72,F,1,999.9998779,999.9998779,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,999.2525024,999.2525024,0,1028.73999,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,999.9998779,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1939,NA,0,321-2020,1
2019,12,BIVU001894_3926,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-3,0,977,72,M,1,999.9998779,999.9998779,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,999.2525024,999.2525024,0,1028.73999,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,999.9998779,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1938,NA,0,321-2020,1
2019,12,BIVU002019_3927,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-3,0,719,72,M,1,50000.00391,50000.00391,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.0075,0,0,0,0,0,0,0,0,0,0,49835.28516,49835.28516,0,51237.87109,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,50000.00391,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1960,NA,0,321-2020,1
2019,12,BIVU002030_3928,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-2,0,1010,72,M,1,5740.001953,5740.001953,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,5736.854492,5736.854492,0,5904.970215,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,5740.001953,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1935,NA,0,321-2020,1
2019,12,BIVU002062_3929,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-3,0,770,72,M,1,3318.002197,3318.002197,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,3315.329834,3315.329834,0,3409.699951,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,3318.002197,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1956,NA,0,321-2020,1
2019,12,BIVU004214_4000,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,967,72,F,1,11183,11183,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,11157.30469,11157.30469,0,11504.40039,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,11183,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1939,NA,0,321-2020,1
2019,12,BIVU004212_3999,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,610,72,M,1,4499.994629,4499.994629,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,4489.831055,4489.831055,0,4622.410156,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,4499.994629,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1969,NA,0,321-2020,1
2019,12,BIVU005001_4034,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-7,0,664,72,F,1,49500.00391,49500.00391,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.0075,0,0,0,0,0,0,0,0,0,0,49242.57813,49242.57813,0,50719.53906,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,49500.00391,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1965,NA,0,321-2020,1
2019,12,BIVU004206_3997,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,594,72,F,1,4999.999512,4999.999512,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,4988.92334,4988.92334,0,5135.930176,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,4999.999512,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1970,NA,0,321-2020,1
2019,12,BIVU004205_3996,Ahorro_VIP,V,|NP|Trad|Ahorro_VIP|Ahorro|1112|VI_TIP|GH5|Ahorro_Sin_PB|Other/Non_Profit|A-Matching|Matching|Matching|Matching|,-6,0,594,72,F,1,4999.999512,4999.999512,0,0,0,C,72,0,2,0,0,0,1,0.0007,3,0,0.005,0,0,0,0,0,0,0,0,0,0,4988.92334,4988.92334,0,5135.930176,0,GR95_4060,1,GR95_4060,1,N,N,C,0,3,0,0.006,0.006,0,1,C,0,0,6,0,4999.999512,1,0,N,1,0.01004,PU_noALM_Trad,PU,GH5,0,0,0,0,1,1970,NA,0,321-2020,1
