modelclass,task_loop,group,disc_rate,time,period,t_from,t_to,claims_ann_tot_pl,claims_death_acc_pl,claims_death_acc_traffic_pl,claims_death_pl,claims_disab_acc_pl,claims_disab_acc_traffic_pl,claims_disab_pl,claims_dread_disease_pl,claims_health_pl,claims_maturity_pl,claims_other_riders_pl,claims_part_withdrawal_pl,claims_services_pl,claims_surrender_pl,claims_total_pl,claims_total_pl_re,exp_total_pl_re,com_financial_pl,com_initial_pl,com_total_pl,com_total_pl_re,com_renewal_total_pl,cost_of_capital,exp_acquisition_pl,exp_ren_total_pl,exp_total_pl,int_technical_total,inv_income_total_pl,inv_income_total_pl_re,margin_com,margin_deposit_fund,margin_exp,margin_inv,margin_others,margin_risk,margin_surrender,policies_e,prem_death_acc_pl,prem_death_acc_traffic_pl,prem_main_pl,pv_cfric,prem_disab_acc_pl,prem_disab_acc_traffic_pl,prem_disab_pl,prem_dread_disease_pl,prem_extra_if,prem_freq_load_pl,prem_health_pl,prem_other_riders_pl,prem_services_pl,prem_total_pl,prem_total_pl_re,profit_aft_tax_aft_coc,profit_aft_tax_bef_coc,profit_bef_tax_bef_coc,profitshare_pl,profitshare_pl_re,pv_bel,pv_bel_net_re,pv_coc,pv_crnhr,pv_profit_aft_tax_aft_coc,pv_profit_aft_tax_bef_coc,res_total_bs,res_total_inc,res_total_inc_re,solvency_margin,tax_on_profit,pv_profit_aft_tax_aft_coc_nb,pv_profit_aft_tax_bef_coc_nb,pv_margin_expenses_aft_tax,pv_margin_expenses_aft_tax_nb,pv_margin_inv_aft_tax,pv_margin_inv_aft_tax_nb,pv_margin_others_aft_tax,pv_margin_others_aft_tax_nb,pv_margin_risk_aft_tax,pv_margin_risk_aft_tax_nb,claims_disab_prof_pl,prem_disab_prof_pl,cal_month,cal_year,scr_cfric,scr_crnhr,pv_bel_nb,pv_bel_re,pv_profit_aft_tax_aft_coc_re,pv_profit_aft_tax_bef_coc_re,res_total_bs_re,profit_bef_tax_bef_coc_re,pv_prem_total,pv_prem_total_nb,pv_coc_nb,pv_crnhr_nb,pv_cfric_nb,pv_bel_net_re_nb,pv_bel_re_nb,num_policies_e,prem_transf_if,policies_b,policies_lapses,policies_maturities,dg_pua_pl,claims_ann_tot_inv_comp_pl,claims_death_inv_comp_pl,claims_maturity_inv_comp_pl,claims_part_withdrawal_inv_comp_pl,claims_surrender_inv_comp_pl,csm,pv_ifrs_risk_adj,pv_ifrs_risk_adj_nb,cashflow_b,cashflow_b_re,cashflow_e,cashflow_e_re,claims_death_pl_re,claims_death_inv_comp_pl_re,scr_crnhr_re,valor_rescate,scr_life,scr_counterpart_cfric,scr_counterpart_crnhr,scr_health,scr_market_cfric,scr_operational_cfric,scr_operational_crnhr,scr_ra,cf_bel,cf_bel_re,cf_claims_annual_eq,cf_claims_annual_eq_re,cf_com_annual_eq,cf_com_annual_eq_re,cf_exp_annual_eq,cf_exp_annual_eq_re,cf_prem_annual_eq,cf_prem_annual_eq_re,cap_to_year_end,pv_bel_annual_eq,disc_rate_m,num_of_loop
trad_alm,1,326AP-2020-S,-1,0,Inicio1,0,0,,,,0,,,,,,0,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,1102.3051832112,1047.1899240506,0,0,-788.38193525208,-788.38193525208,0,,,0,,,,-542.04912302214,,-109.18396787692,,-2.1246115967214e-13,,-137.14884435302,,,,12,2019,0,0,,55.115259160558,-55.519239006654,-55.519239006654,0,,5961.4052556739,,,,,,,0,0,0,0,0,,0,0,0,0,0,-17330.294694478,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1102.3051832112,,1
trad_alm,1,326AP-2020-S,-1,1,Siguiente1,1,1,0,0,0,8.3897657582596,0,0,0,0,0,0,0,0,0,0,8.3897657582596,0.41948828791298,0,,,512.9508822,25.64754411,,0,0,0,0,3.2246522314964,-1.1391946380417,-0.056959731902087,-205.37414167053,0,4.3283644379481,-3.1803138043027,-2.4691360067663e-13,-287.64607115494,0,4.965431876011,0,0,4404.4321666667,0,0,0,0,0,0,1.1265733333333,0,0,0,4405.55874,220.277937,-368.90412164387,-368.90412164387,-491.87216219182,0,0,9093.3674534601,8638.6990807871,0,0,-3350.5594923795,-3350.5594923795,4400.8390681319,4400.8390681319,220.0419534066,,-122.96804054796,-788.38193525208,-788.38193525208,-2446.9132433709,-542.04912302214,-675.46428878152,-109.18396787692,4.2699147913891e-14,-2.1246115967214e-13,-228.18196022708,-137.14884435302,0,0,1,2020,0,0,1102.3051832112,454.66837267301,-29.524097999036,-29.524097999036,220.0419534066,-25.888008536412,17541.156350166,5961.4052556739,0,0,0,1047.1899240506,55.115259160558,1.9880109921338,0,5,0.028560134864267,0,0,0,0,0,0,0,,0,0,3888.4129749209,194.42064874604,-4.1948828791298,,0.41948828791298,0,0,0,0,0,0,0,0,0,0,0,-3884.2180920417,-194.21090460209,8.3627677340363,0.41813838670182,511.30022105617,25.565011052809,0,0,4391.3817790446,219.56908895223,0.9967820288431,5209.1493614184,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,2,Siguiente2,2,2,0,0,0,62.041047836816,0,0,0,0,0,0,0,0,0,0,62.041047836816,3.1020523918408,0,,,1224.5430573989,61.227152869943,,0,0,0,0,11.02152626481,-3.8944973110128,-0.19472486555064,-520.37640608952,0,6.5451897815019,-7.9749173032315,-3.5527136788005e-15,-1376.3747107074,0,18.807007333104,0,0,10141.065519346,0,0,0,0,0,0,6.7463814070409,0,0,0,10147.811900753,507.39059503763,-1423.635633239,-1423.635633239,-1898.1808443186,0,0,18526.161024354,17599.852973136,0,0,-2336.4878888475,-2336.4878888475,15256.257465621,10855.418397489,542.77091987443,,-474.54521107966,-2931.3126523019,-2931.3126523019,-3187.4908491501,-2055.8072582814,-725.92699054832,-568.69754406148,2.9575201551544e-13,6.9912861988986e-14,1576.929950851,-306.807849959,0,0,2,2020,0,0,4107.1671223395,926.3080512177,-21.820901570311,-21.820901570311,762.81287328103,-99.904254964139,14034.148073592,15985.765653362,0,0,0,3901.8087662225,205.35835611698,6.9354693153741,0,18.965431876011,0.12345073908488,0,0,0,0,0,0,0,,0,0,8892.2483194353,444.61241597176,-4.1711638163492,,3.1020523918408,0,0,0,0,0,0,0,0,0,0,0,-8861.2277955169,-443.06138977584,70.222292353343,3.5111146176672,1732.2604409062,86.613022045311,0,0,14509.502636027,725.47513180133,0.99707414326743,5781.8531024517,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,3,Siguiente3,3,3,0,0,0,79.372514930117,0,0,0,0,0,0,0,0,0,0,79.372514930117,3.9686257465059,0,,,428.52231955101,21.426115977551,,0,0,0,0,15.134494749927,-5.3467060799572,-0.26733530399786,-189.44268967159,0,1.1996280737888,-14.786266706737,2.2659651932599e-13,-1200.6490597381,0,23.60884773729,0,0,3456.4349852394,0,0,0,0,0,0,5.4275988191495,0,0,0,3461.8625840585,173.09312920293,-1052.758791032,-1052.758791032,-1403.6783880426,0,0,21537.792642387,20460.903010268,0,0,-1328.0715329451,-1328.0715329451,19682.434707058,4426.1772414371,221.30886207185,,-350.91959701066,-410.5456485403,-410.5456485403,-3700.4467918971,-1126.6678941405,-643.08120768105,-56.641781609346,1.5777739635569e-13,2.5040084198087e-13,3015.4564666331,772.76402720959,0,0,3,2020,0,0,574.2298739466,1076.8896321194,-14.269664390871,-14.269664390871,984.12173535288,-73.877809896981,12446.316640678,6642.9696642592,0,0,0,545.51838024927,28.71149369733,8.8683214870685,0,23.807007333104,0.15068163163534,0,0,0,0,0,0,0,,0,0,2993.6540070424,149.68270035212,-4.1476669765136,,3.9686257465059,0,0,0,0,0,0,0,0,0,0,0,-2953.9677495774,-147.69838747887,149.38576732757,7.4692883663784,2159.6541797784,107.98270898892,0,0,17962.247862489,898.11239312447,0.99736634329808,5843.2506914112,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,4,Siguiente4,4,4,0,0,0,81.350016703256,0,0,0,0,0,0,0,0,0,0,81.350016703256,4.0675008351628,0,,,47.535124732243,2.3767562366122,,0,0,0,0,16.323045339508,-5.7668279697849,-0.28834139848924,-45.081131514362,0,1.8799022079747,-15.157908607905,-4.4408920985006e-15,-1045.7390226003,0,25.391981200643,0,0,83.045291286239,0,0,0,0,0,0,6.6436233028992,0,0,0,89.688914589139,4.4844457294569,-828.07362038596,-828.07362038596,-1104.0981605146,0,0,21492.286453597,20417.672130917,0,0,-499.6088252942,-499.6088252942,20799.680242257,1117.2455351992,55.862276759962,,-276.02454012865,-45.026959765234,-45.026959765234,-3666.9617440359,-655.07208329457,-631.52437168364,71.543406832745,1.6106184113058e-13,3.2059417281056e-14,3798.8772904253,538.50171669659,0,0,4,2020,0,0,63.091507813991,1074.6143226799,-6.8679842035082,-6.8679842035082,1039.9840121128,-58.110429500769,12353.00758488,1877.1285307232,0,0,0,59.936932423291,3.1545753906996,9.7914761572897,0,25.60884773729,0.16809968617886,0,0,0,0,0,0,0,,0,0,1.4787815052673,0.073939075263367,-4.1243900467763,,4.0675008351628,0,0,0,0,0,0,0,0,0,0,0,39.19622684636,1.959811342318,230.54531345762,11.527265672881,2207.0780071462,110.35390035731,0,0,18051.726782051,902.58633910257,0.99765862896013,5841.5387848058,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,5,Siguiente5,5,5,0,0,0,80.812650847997,0,0,0,0,0,0,0,0,0,0,80.812650847997,4.0406325423999,0,,,97.860728511394,4.8930364255697,,0,,0,0,17.284086088293,-6.1073027620917,-0.30536513810458,-92.706113924588,0,12.716297525216,-12.824943076316,1.3211653993039e-14,-772.74080114565,0,25.177256643487,0,0,174.3818033478,0,0,0,0,0,0,10.261080635963,0,0,0,184.64288398376,9.2321441991881,-649.16667046601,-649.16667046601,-865.55556062134,0,0,21883.201010876,20789.040960332,0,0,-130.13058809965,-130.13058809965,21710.653560563,910.9733183058,45.54866591529,,-216.38889015534,,,-3596.9602039985,,-808.37009097679,,3.6825843871234e-13,,4275.1997068757,,0,0,5,2020,0,0,,1094.1600505438,0.38650725418051,0.38650725418051,1085.5326780281,-45.555555822176,15949.44971541,,,,,,,9.7153614981608,0,25.391981200643,0.1662960009806,0,0,0,0,0,0,0,,0,,46.37583004837,2.3187915024185,-4.1013307387274,,4.0406325423999,0,0,0,0,0,0,0,0,0,0,0,-5.9695046243714,-0.29847523121857,311.19237920655,15.559618960328,2304.7382190522,115.23691095261,0,0,18235.991332817,911.79956664086,0.99795100027868,6231.0690623164,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,6,Siguiente6,6,6,0,0,0,103.85409079172,0,0,0,0,0,0,0,0,0,0,103.85409079172,5.1927045395862,0,,,481.74505650202,24.087252825101,,0,0,0,0,20.774028730277,-7.3387593499932,-0.36693796749966,-214.5597473756,0,18.294456512673,-21.245457869302,3.1030733538273e-13,-841.13862759307,0,26.950014263377,0,0,3865.9049030434,0,0,0,0,0,0,6.5003922434685,0,0,0,3872.4052952868,193.62026476434,-793.98703224398,-793.98703224398,-1058.6493763253,0,0,27507.648669939,26132.266236442,0,0,-1007.6972682775,-1007.6972682775,26104.488713759,4393.835153196,219.6917576598,,-264.66234408133,-279.83480447702,-279.83480447702,-4400.2850810614,8.9348620250861,-1061.2574792121,-186.64944531693,-1.0025960179253e-13,2.1715252462463e-13,4453.845291996,-102.12022118518,0,0,6,2020,0,0,391.24168257594,1375.3824334969,7.4961447007469,7.4961447007469,1305.2244356879,-55.718388227647,19068.629869254,3784.65,0,0,0,371.67959844714,19.562084128797,10.632761708302,0,27.177256643487,0.16450851402272,0,0,0,0,0,0,0,,0,0,3338.7331933889,166.93665966945,-4.0784867881347,,5.1927045395862,0,0,0,0,0,0,0,0,0,0,0,-3286.8061479931,-164.34030739965,414.86404585103,20.743202292552,2785.6370697817,139.28185348909,0,0,22101.594582769,1105.0797291385,0.99824345727883,8573.2962037979,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,7,Siguiente7,7,7,0,0,0,156.65055732905,0,0,0,0,0,0,0,0,0,0,156.65055732905,7.8325278664527,0,,,550.33592845981,27.51679642299,,0,0,0,0,24.744047976263,-8.7415135493647,-0.43707567746823,-250.19296621283,0,10.11817208071,-24.346259648326,-3.6665115388246e-13,-1611.8540253695,0,32.659359370648,0,0,4352.8778274979,0,0,0,0,0,0,8.7022261998334,0,0,0,4361.5800536978,218.07900268489,-1407.2063093625,-1407.2063093625,-1876.27507915,0,0,33131.50518264,31474.929923508,0,0,-1015.2621683401,-1015.2621683401,31725.367167223,5620.8784534648,281.04392267324,,-469.0687697875,-1671.5918369907,-1671.5918369907,-4188.0658567342,-951.57765245845,-1690.0362063506,-269.05831113025,3.0933855226102e-13,-2.3567964969744e-13,4862.8398947448,-450.95587340198,0,0,7,2020,0,0,2344.0526678624,1656.575259132,14.463229756102,14.463229756102,1586.2683583612,-98.751319955263,28057.971067386,6995.1236803673,0,0,0,2226.8500344692,117.20263339312,12.529819286416,0,32.950014263377,0.20079987855047,0,0,0,0,0,0,0,,0,0,3732.9188465734,186.64594232867,-4.055855954688,,7.8325278664527,0,0,0,0,0,0,0,0,0,0,0,-3654.5935679089,-182.72967839544,571.28526676192,28.564263338096,3335.1673064344,166.75836532172,0,0,26456.789283206,1322.8394641603,0.9985359999857,10548.106376455,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,8,Siguiente8,8,8,0,0,0,191.8818564369,0,0,0,0,0,0,0,0,0,0,191.8818564369,9.5940928218448,0,,,1646.7005019845,82.335025099227,,0,0,0,0,36.113878085868,-12.758065749404,-0.63790328747019,-706.51097059676,0,48.659175106171,-36.052332366892,1.3189449532547e-13,-1199.8375225464,0,40.344323724088,0,0,13552.197446507,0,0,0,0,0,0,12.18170818091,0,0,0,13564.379154688,678.21895773439,-1420.3062378029,-1420.3062378029,-1893.7416504039,0,0,45786.487321874,43497.162955781,0,0,-266.68266722618,-266.68266722618,45431.818161323,13706.4509941,685.322549705,,-473.43541260097,-1415.0664361236,-1415.0664361236,-3681.013457666,30.873970091236,-1923.8620236031,-647.34934019482,4.491483724086e-13,1.3458041542402e-13,5338.192814043,-798.59106601997,0,0,8,2020,0,0,1977.3219051114,2289.3243660937,21.290031381057,21.290031381057,2271.5909080662,-99.670613179152,20176.625701635,13355.23,0,0,0,1878.4558098558,98.866095255569,14.421126832544,0,40.659359370648,0.19861003442112,0,0,0,0,0,0,0,,0,0,11821.737724485,591.08688622424,-4.033436021746,,9.5940928218448,0,0,0,0,0,0,0,0,0,0,0,-11725.796796266,-586.28983981332,762.9423582463,38.147117912315,4979.9389102574,248.99694551287,0,0,40005.279509711,2000.2639754856,0.99882862842438,11483.908014296,-0.00029297161731257,1
trad_alm,1,326AP-2020-S,-1,9,Siguiente9,9,9,0,0,0,201.79529455218,0,0,0,0,0,0,0,0,0,0,201.79529455218,10.089764727609,0,,,714.93255335352,35.746627667676,,0,0,0,0,41.816729301474,-14.771091299153,-0.73855456495767,-313.89154216683,0,27.586278347326,-47.338385063829,2.5866808694985e-13,-1261.7236437761,0,42.026795237522,0,0,5793.666012148,0,0,0,0,0,0,8.5108809718406,0,0,0,5802.1768931198,290.10884465599,-1196.5254694946,-1196.5254694946,-1595.3672926595,0,0,52727.004269315,50090.654055849,0,0,-546.70432257246,-546.70432257246,51981.830107512,6550.0119461881,327.50059730941,,-398.84182316487,-672.02417968845,-672.02417968845,-3510.0028424295,12.43656802279,-2246.8890783434,-261.36019916836,1.0325336666092e-13,2.3882131905764e-13,5210.1875982004,-423.10054854288,0,0,9,2020,0,0,938.89193362565,2636.3502134658,27.98477414713,27.98477414713,2599.0915053756,-83.966699613656,19727.797741448,5687.28,0,0,0,891.94733694438,46.944596681283,15.310769658079,0,42.344323724088,0.19644099775833,0,0,0,0,0,0,0,,0,0,4986.3466924902,249.31733462451,-4.5615981743312,,10.089764727609,0,0,0,0,0,0,0,0,0,0,0,-4885.4490452141,-244.27245226071,964.56034387368,48.228017193684,5694.2432828467,284.71216414234,0,0,45802.358277284,2290.1179138642,0.99912134262002,13549.02559866,-0.00029297161731257,1
